Drug_ID,Drug,Y,sa-score,molecular-weight,pca_1,pca_2,pca_3,pca_4,umap_1,umap_2,tsne_1,tsne_2,RA_score
Drug 1,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2,1.0,2.503751,301.34500000000014,0.8992937,-0.1435176,0.21557814,0.2916418,-0.07607186,0.5398724,-0.147871088366393,0.0034802136094998,0.5896783
Drug 2,O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,0.0,2.91723,646.6140000000001,0.876555,-0.04433228,0.1158561,-0.088107616,-0.27477574,0.5755042,-0.2851460035642977,0.1344476707177944,0.11751463
Drug 3,[N-]=[N+]=CC(=O)NCC(=O)NN,1.0,3.460701,157.13299999999998,0.9257509,0.27857223,0.16684678,0.38216248,0.3969307,-0.25695282,0.3687212972711974,0.4994945112103112,0.9903673
Drug 3,[N-]=[N+]=CC(=O)NCC(=O)NN,1.0,3.460701,157.13299999999998,0.9257509,0.27857223,0.16684678,0.38216248,0.3969307,-0.25695282,0.3687212972711974,0.4994945112103112,0.9903673
Drug 4,[N-]=[N+]=C1C=NC(=O)NC1=O,1.0,4.191218,138.08599999999998,0.9071368,0.1684708,0.16809428,0.32255134,0.7247343,-0.10198641,0.1890562869385338,0.4689568332159295,0.8657312
Drug 6,CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O,1.0,4.367447,264.285,0.91865236,0.06479202,0.15134773,0.33400682,0.37205315,-0.06539118,0.1473237422605274,0.2832834122437556,0.5931913
Drug 6,CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O,1.0,4.367447,264.285,0.91865236,0.06479202,0.15134773,0.33400682,0.37205315,-0.06539118,0.1473237422605274,0.2832834122437556,0.5931913
Drug 7,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,1.0,3.879968,173.128,0.9379836,0.20826305,0.16421413,0.3201739,0.51716554,-0.24145043,0.4163175127725426,0.5655400443713795,0.9634042
Drug 7,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,1.0,3.879968,173.128,0.9379836,0.20826305,0.16421413,0.3201739,0.51716554,-0.24145043,0.4163175127725426,0.5655400443713795,0.9634042
Drug 9,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,0.0,4.639449,406.9060000000003,0.9282883,-0.17921335,0.10092354,0.2703184,-0.79003644,0.41446948,-0.5596547937806614,-0.7076259822122191,0.044513308
